HIT | Автор: baimen_astana | https://scontent-det1-1.cdninstagram.com/o1/v/t16/f2/m69/AQNxYfFEe-IYHO08d2WbA9A7REa-3GYQtBk6UQUmaJw3uaW16380wb4WRbnLQjPnMBonmPb_KxydyKJOcan9MtlA.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=957167796989829_2647984897&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HT1NFb1NiLWU4OE45cW9FQUxQMnlReGNJcmNMYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzU2NDJGMkY5Qzc1NzBCOUY4Qjk3MTczN0UxOTFBQUFCX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmtNC99qHGi0AVAigCQzMsF0AuRBiTdLxqGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=01b911a00b&ccb=9-4&oh=00_Afzyh66KrHq8YKyE152c1HeK1q5NFRuf5rXh9myvQVKN5Q&oe=69BC5640&_nc_sid=10d13b
NORMAL | Автор: baimen_astana | https://scontent-iad3-2.cdninstagram.com/o1/v/t16/f2/m69/AQO8nWZ4GDkTQbvaF_-0WoE8XrC4JAfMEtKlDY-Cn0hSQw5wfKxRQ9K4H58kETjrwAs0Iki_tOqUxCRf6McWyBix.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=100&vs=1234518048846685_2240164365&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSXJnQ3lVUkdlbXByQjRGQUN5bUF5SXMzZDFfYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzMwNDUxNEVEOEY1MkI0MzkxN0QyNkFCNTg4NTg5ODkwX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmtJmzs%2Fq3i0AVAigCQzMsF0AcIcrAgxJvGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=0420b1e222&ccb=9-4&oh=00_AfwjxVn3wG8ioKODxN5NGUKlzzeWwRouDmSwE1_9U-f2lg&oe=69BC49F1&_nc_sid=10d13b
HIT | Автор: baimen_astana | https://scontent-phl2-1.cdninstagram.com/o1/v/t16/f2/m69/AQNeXxy9QzBC5MB-pwWbtE73HT1EQDwbKluLIVkyitwVXcngPkf-1r6WQNfp7lXHE-CIdnddpJuJ55CLebUe_pRH.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1605110900772585_2759176388&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HSjZ1ZVNZS2QzVW5VMmtDQUhtSEFkRUlqYVE2YnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0Q2NDI0Q0YzOURDNUZCOThCRjA3MjU4ODRCNUI1ODk4X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmtK3F0O6Yi0AVAigCQzMsF0AuZmZmZmZmGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=6d77905b71&ccb=9-4&oh=00_AfzXrlT2Di2VO565ilD5bgX7PapHFWT3vgQ2MFHOc4_PRg&oe=69BC4D06&_nc_sid=10d13b
NORMAL | Автор: baimen_astana | https://instagram.fpia1-1.fna.fbcdn.net/o1/v/t16/f2/m69/AQNymnGRJMVfXMWjsxudbGMJSHui9Qxe6gpSFtVeMFVVhVSc470lDFwHBw6NVbgRYneI7_I0HYOdKHtLzV62p72Y.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=109&vs=1245615260873351_4068670762&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HR2szWENZVzRod1N5SzhHQUd5Um1YYTdzbGRpYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzM5NENEMzEwQTUwMzNBQTYyOTc1OTVEQzBCMEM1QUJFX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmtP%2FylIL5ikAVAigCQzMsF0AiIcrAgxJvGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=20169432fb&ccb=9-4&oh=00_AfzKOOYsIcah342sQhfpJFmie2K-_73pLNkJ6ASKfMJp6g&oe=69BC4767&_nc_sid=10d13b
HIT | Автор: technomania_kz | https://instagram.fedi1-1.fna.fbcdn.net/o1/v/t16/f2/m69/AQO08UYsK-RgZaTnwaiqPru_t-0RA4cDG49bCJ8Us0Db6Q1LiVEaW3etrF6jxz9epfMoMybP7zy7ZNy8NoqKWIod.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=106&vs=1257458906520957_3553114897&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRF9oaFNZMG81RXlETWNGQUttUXBrUWE3S29iYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzk1NDk0NTJDQUU0MjAwQzdGM0FBQjEwMzE2MDhDREIyX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAm7Py8zKOVtj8VAigCQzMsF0A590vGp%2B%2BeGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=de54733020&ccb=9-4&oh=00_Afz0X0lKnXjwJCGgscX1GfYrNdcbHtHgFTykb8220SHoUQ&oe=69BC4DB2&_nc_sid=10d13b
NORMAL | Автор: technomania_kz | https://scontent-phl2-1.cdninstagram.com/o1/v/t16/f2/m69/AQNvEaUTJguvx4Kx2YmUzlmiCuu3asUjxZ2cW8_yJCdEdxk5SLHNb_YRlHxiwqKumkCNPsxVpo9Yeq9JGA1LWe6n.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=107&vs=803906396070335_1949011757&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HUEpFZmliUEpGNWJfVjBEQURhTVFwZVVRcUZGYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzUxNDZDMzM5MjdGRDcyNzU2OTlGN0QwNjcxOERGRTg1X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAm7Im757WPtj8VAigCQzMsF0BbN2yLQ5WBGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=cb1b3c8bc7&ccb=9-4&oh=00_AfzJwxodrF7KcM6NFPCqv9YXhoTQ0wjTYacx3kUXHgW4MA&oe=69BC42CA&_nc_sid=10d13b
HIT | Автор: technomania_kz | https://scontent-iad3-1.cdninstagram.com/o1/v/t16/f2/m69/AQOLC498d3jW4nBY7vRljbioUnFmL8L1G3fzo2iN5uH2IhjLoRFymnWrgTl4JQIa03SxNderUTJ4edQ2si6BnKR3.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=110&vs=1118758410318753_2720976472&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRE1wR1NicHZ2WDBCZndFQU0zQXljdW1PdXcxYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzNCNDEyREZDOURCMjc1MzM1QzRENTNDMEQ3MUM2RDg0X2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAm7KKTssvRtT8VAigCQzMsF0BUJDlYEGJOGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=6ebf6de0fa&ccb=9-4&oh=00_AfzEQsfwF5U8_rU6s1k-Hq_o-EE1YQyygLoz_KjOEJs_PQ&oe=69BC52A6&_nc_sid=10d13b
NORMAL | Автор: technomania_kz | https://scontent-phx1-1.cdninstagram.com/o1/v/t16/f2/m69/AQN6AafYiKZQaehqstyFHYC6iQn20pgC6qUK5VQC-W7zY9ceSDL3_6Mt-JbxbZ0jG_ZGUDnUERz9BVFqNjOX7iqX.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=110&vs=890860383559091_3843728892&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HRk9hZGlYc1dra0cza2tHQURHQk5zLUVsc1ZvYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzI3NDgwQTZGMzE2QUMzRTI1NjlGMUFDQzBBMjYzNkFEX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAm7Pz80NebtT8VAigCQzMsF0BKd2yLQ5WBGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=76128fa8f4&ccb=9-4&oh=00_AfzBefNvzwH7TQLl74RncbSszvHwjEeGPj9qiDP1ZJbKcw&oe=69BC4E36&_nc_sid=10d13b
HIT | Автор: dodopizzakz | https://scontent-ord5-2.cdninstagram.com/o1/v/t16/f2/m69/AQOcguk50izxkM_SfSlAmZnDTHjmj6g1Jo4OX7jOxXbTNvySb1EeytSRQizsyjAMcAhd935diEM9EMAmOJ_JnGOt.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=110&vs=1889028725056115_3928429506&_nc_vs=HBksFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTmliZWlXQk9jN2xkZ2tGQUs3TjRPMy04UUlUYnNwVEFRQUYVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0RDNDU4MTRENjA3OTFERDdGN0Q5NEY0NDhDRjI4OTlBX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmnLHVhozzwz8VAigCQzMsF0A9gAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=90798eb0cc&ccb=9-4&oh=00_AfyWbkaYDz8JwQcNPwpmnZWsIQKo01RfqBHj2EvcedwBMw&oe=69BC45AF&_nc_sid=10d13b
NORMAL | Автор: dodopizzakz | https://instagram.fmkc1-1.fna.fbcdn.net/o1/v/t16/f2/m86/AQMzg_s2XdOr8AKSp-EuhV29gL8TSDGMO7LHaaLb7ZyUBDuTOg10lpBQ-Cn0uayic4M8YVB1Sob8ZXWqvjpLppo0-S7kGZw2tiek5uM.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=102&vs=1177999837830996_1829654727&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC84RjRCMzcxREFFREY1MkMyOTEwQTA1NDU5NjZGNTRBNV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0I4NDFBNTY0QTM1RjFDRkU1MzVGRTVGN0M3MjE4MkExX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmnPHx5%2Be0wz8VAigCQzMsF0AymZmZmZmaGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=5417872aee&ccb=9-4&oh=00_Afz1Kp3Xg9VcCfYxoGrO_apxnmgw4ZKNX3I52Us1fsF_Jw&oe=69BC201B&_nc_sid=10d13b
HIT | Автор: dodopizzakz | https://scontent-ord5-2.cdninstagram.com/o1/v/t16/f2/m86/AQOklqJPockYLcx1nm-aljX1nIy-tFCNmDJ4T5a5lZ6JRa4CePWpZHwBHpgUVk8sNaL9yfbDYptAvWtjIHw2NXRqCndQt2h5MAP4Rw0.mp4?stp=dst-mp4&efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uY2xpcHMuYzIuNzIwLmJhc2VsaW5lIn0&_nc_cat=103&vs=2018950582233379_3458845614&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FRDQ1ODdCQTY3QzVFNEVEQzI3OUI0ODg2Mjk1Qjg4Rl92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzcxNDY3RkQzNzBBNzhBMDYxNDYxQTRDQjNFNTU3QjgzX2F1ZGlvX2Rhc2hpbml0Lm1wNBUCAsgBEgAoABgAGwAVAAAmnN23kqD%2Bwj8VAigCQzMsF0A390vGp%2B%2BeGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX%2BB2XmnQEA&_nc_rid=eed56128e2&ccb=9-4&oh=00_AfwI5Ed9N7M1S6t9P2-8yqPKBd1es2iCAHl8B4Z7sWs6lA&oe=69BC3751&_nc_sid=10d13b
